CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	7429	7950	+	SA.NC9_000001-T1		g00025_18	98	345	1293
scaffold_1	8031	8375	+	SA.NC9_000002-T1		g00025_21	80	339	4229
scaffold_1	9351	11267	-	SA.NC9_000003-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	14185	15431	+	SA.NC9_000004-T1		g01053_1	98	341	341
scaffold_1	16683	18492	+	SA.NC9_000005-T1		g01027_2	98	346	695
scaffold_1	18687	21998	-	SA.NC9_000006-T1		g00815_2	80	344	348
scaffold_1	22943	24568	+	SA.NC9_000007-T1		g00691_1	98	346	348
scaffold_1	24637	25224	-	SA.NC9_000008-T1		g04916	98	344	345
scaffold_1	25577	27566	+	SA.NC9_000009-T1		g01742	98	346	1038
scaffold_1	27452	29895	+	SA.NC9_000010-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	29719	31676	-	SA.NC9_000011-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	31778	33454	-	SA.NC9_000012-T1	sorting nexin	g03562	98	345	346
scaffold_1	34016	35626	+	SA.NC9_000013-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	35660	41116	-	SA.NC9_000014-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	48267	51722	-	SA.NC9_000018-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	51827	52225	-	SA.NC9_000019-T1		g00397	98	346	1037
scaffold_1	53944	55176	-	SA.NC9_000020-T1		g00160_3	98	327	331
scaffold_1	57877	60492	+	SA.NC9_000021-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	60572	64700	+	SA.NC9_000022-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	65416	67881	+	SA.NC9_000023-T1		g00027_15	98	345	347
scaffold_1	68643	72202	+	SA.NC9_000024-T1		g00760_1	98	345	350
scaffold_1	72280	74580	+	SA.NC9_000025-T1		g02137	98	346	350
scaffold_1	74574	77916	-	SA.NC9_000026-T1		g00034_2	98	346	348
scaffold_1	78584	80056	-	SA.NC9_000027-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	81859	83194	+	SA.NC9_000028-T1		g00528	98	344	346
scaffold_1	83206	86951	-	SA.NC9_000029-T1		g01711	98	346	349
scaffold_1	87049	88173	-	SA.NC9_000030-T1		g01786	98	345	688
scaffold_1	88482	90694	-	SA.NC9_000031-T1		g01786	98	345	688
scaffold_1	91293	91985	-	SA.NC9_000032-T1		g02596	98	346	347
scaffold_1	92041	92630	-	SA.NC9_000033-T1		g00017	98	346	346
scaffold_1	93261	94897	+	SA.NC9_000034-T1		g00460_2	98	346	1202
