CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	9952	11741	-	47.OZ_007042-T1		g00025_19	90	345	4663
scaffold_1	12971	13918	+	47.OZ_000001-T1		g00025_21	80	339	4229
scaffold_1	14855	16771	-	47.OZ_000002-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	19580	20826	+	47.OZ_000003-T1		g01053_1	98	341	341
scaffold_1	22078	23887	+	47.OZ_000004-T1		g01027_2	98	346	695
scaffold_1	24082	27393	-	47.OZ_000005-T1		g00815_2	80	344	348
scaffold_1	28338	29963	+	47.OZ_000006-T1		g00691_1	98	346	348
scaffold_1	30032	30619	-	47.OZ_000007-T1		g04916	98	344	345
scaffold_1	30973	32861	+	47.OZ_000008-T1		g01742	98	346	1038
scaffold_1	32847	35290	+	47.OZ_000009-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	35114	37071	-	47.OZ_000010-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	37173	38849	-	47.OZ_000011-T1	sorting nexin	g03562	98	345	346
scaffold_1	39411	41021	+	47.OZ_000012-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	41055	46511	-	47.OZ_000013-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	53661	57116	-	47.OZ_000017-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	57221	57619	-	47.OZ_000018-T1		g00397	98	346	1037
scaffold_1	59340	60572	-	47.OZ_000019-T1		g00160_3	98	327	331
scaffold_1	63273	65888	+	47.OZ_000020-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	65968	70096	+	47.OZ_000021-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	70812	73277	+	47.OZ_000022-T1		g00027_15	98	345	347
scaffold_1	74039	77598	+	47.OZ_000023-T1		g00760_1	98	345	350
scaffold_1	77676	79976	+	47.OZ_000024-T1		g02137	98	346	350
scaffold_1	79970	83312	-	47.OZ_000025-T1		g00034_2	98	346	348
scaffold_1	83980	85452	-	47.OZ_000026-T1	Transcriptional adapter ada2	g00456_1	98	341	342
