CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	6179	7968	-	ANS13No1_006987-T1		g00025_19	90	345	4663
scaffold_1	8461	9408	+	ANS13No1_000001-T1		g00025_21	80	339	4229
scaffold_1	10269	12185	-	ANS13No1_000002-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	15150	16396	+	ANS13No1_000003-T1		g01053_1	98	341	341
scaffold_1	17648	19451	+	ANS13No1_000004-T1		g01027_2	98	346	695
scaffold_1	19646	22957	-	ANS13No1_000005-T1		g00815_2	80	344	348
scaffold_1	23902	25527	+	ANS13No1_000006-T1		g00691_1	98	346	348
scaffold_1	25596	26183	-	ANS13No1_000007-T1		g04916	98	344	345
scaffold_1	26536	28525	+	ANS13No1_000008-T1		g01742	98	346	1038
scaffold_1	28411	30854	+	ANS13No1_000009-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	30678	32635	-	ANS13No1_000010-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	32737	34413	-	ANS13No1_000011-T1	sorting nexin	g03562	98	345	346
scaffold_1	34975	36585	+	ANS13No1_000012-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	36619	42075	-	ANS13No1_000013-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	49226	52681	-	ANS13No1_000017-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	52786	53184	-	ANS13No1_000018-T1		g00397	98	346	1037
scaffold_1	54714	55946	-	ANS13No1_000019-T1		g00160_3	98	327	331
scaffold_1	58647	61262	+	ANS13No1_000020-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	61342	65470	+	ANS13No1_000021-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	66186	68651	+	ANS13No1_000022-T1		g00027_15	98	345	347
scaffold_1	69413	72972	+	ANS13No1_000023-T1		g00760_1	98	345	350
scaffold_1	73050	75350	+	ANS13No1_000024-T1		g02137	98	346	350
scaffold_1	75344	78686	-	ANS13No1_000025-T1		g00034_2	98	346	348
scaffold_1	79354	80826	-	ANS13No1_000026-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	82911	83836	+	ANS13No1_000027-T1		g00528	98	344	346
scaffold_1	84050	87795	-	ANS13No1_000028-T1		g01711	98	346	349
scaffold_1	87893	89017	-	ANS13No1_000029-T1		g01786	98	345	688
scaffold_1	89324	91536	-	ANS13No1_000030-T1		g01786	98	345	688
scaffold_1	92135	92827	-	ANS13No1_000031-T1		g02596	98	346	347
scaffold_1	92883	93472	-	ANS13No1_000032-T1		g00017	98	346	346
scaffold_1	96286	97246	-	ANS13No1_000033-T1		g02790	98	345	348
scaffold_1	97564	98429	+	ANS13No1_000034-T1		g00460_2	98	346	1202
scaffold_1	98458	101377	-	ANS13No1_000035-T1	ERMES complex subunit	g00460_2	98	346	1202
scaffold_1	101560	102158	-	ANS13No1_000036-T1	Nuclear receptor 2C2-associated protein	g00460_2	98	346	1202
scaffold_1	102204	104231	-	ANS13No1_000037-T1		g00597_2	98	346	1042
scaffold_1	104513	106091	+	ANS13No1_000038-T1	Cyclin-dependent kinase 20	g02691	98	346	347
scaffold_1	106109	106768	-	ANS13No1_000039-T1		g06005	98	343	344
scaffold_1	106867	110063	+	ANS13No1_000040-T1	AdoMet-dependent rRNA methyltransferase spb1	g00027_82	98	346	676
scaffold_1	110560	112191	+	ANS13No1_000041-T1		g00027_82	98	346	676
scaffold_1	112239	113596	-	ANS13No1_000042-T1		g02042	98	345	346
scaffold_1	114686	118715	-	ANS13No1_000043-T1		g00942	98	346	678
scaffold_1	118935	120141	-	ANS13No1_000044-T1		g00942	98	346	678
scaffold_1	120434	121379	-	ANS13No1_000045-T1		g01350	98	346	1045
scaffold_1	121929	124652	-	ANS13No1_000046-T1	DnaJ sub C member 7	g01159	98	346	788
scaffold_1	124723	127058	+	ANS13No1_000047-T1		g00573_2	98	346	1046
scaffold_1	128237	133261	-	ANS13No1_000048-T1	Phosphatidylinositol 4-kinase pik1alpha (PI4-kinase)(PtdIns-4-kinase)	g00573_2	98	346	1046
scaffold_1	133239	134462	-	ANS13No1_000049-T1	Ribosomal RNA small subunit methyltransferase mra1	g01257	98	345	1037
scaffold_1	134740	139227	-	ANS13No1_000050-T1		g00047_5	98	345	686
scaffold_1	139579	140376	-	ANS13No1_000051-T1		g00047_5	98	345	686
scaffold_1	140311	148749	+	ANS13No1_000052-T1	kinase subunit of RNA polymerase II carboxy-terminal domain kinase I	g00568	98	346	1056
scaffold_1	145672	148801	-	ANS13No1_000053-T1	Short integuments 2, mitochondrial	g00568	98	346	1056
scaffold_1	150234	152093	+	ANS13No1_000054-T1		g00070	98	346	1251
scaffold_1	152605	154217	+	ANS13No1_000055-T1		g02626	98	344	344
scaffold_1	154829	155885	-	ANS13No1_000056-T1	casein kinase 2 regulatory subunit	g00523	98	346	1737
scaffold_1	156262	157511	-	ANS13No1_000057-T1	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like protein	g00523	98	346	1737
scaffold_1	158004	161025	-	ANS13No1_000058-T1		g00179_3	98	345	692
scaffold_1	161601	164440	+	ANS13No1_000059-T1		g00531	98	346	1417
scaffold_1	164579	167149	+	ANS13No1_000060-T1		g00026_223	80	346	8582
scaffold_1	167157	167596	-	ANS13No1_000061-T1		g03743	98	344	345
scaffold_1	167831	169876	+	ANS13No1_000062-T1	mitotic spindle checkpoint protein Bub3	g00026_223	80	346	8582
scaffold_1	170087	171911	+	ANS13No1_000063-T1		g00164	98	345	2131
scaffold_1	172016	174795	+	ANS13No1_000064-T1		g00164	98	345	2131
