CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	8360	10149	-	SWED.40.5.17_007275-T1		g00025_19	90	345	4663
scaffold_1	11329	12036	+	SWED.40.5.17_000001-T1		g00025_19	90	345	4663
scaffold_1	13150	15066	-	SWED.40.5.17_000002-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	17984	19230	+	SWED.40.5.17_000003-T1		g01053_1	98	341	341
scaffold_1	20482	22291	+	SWED.40.5.17_000004-T1		g01027_2	98	346	695
scaffold_1	22486	25797	-	SWED.40.5.17_000005-T1		g00815_2	80	344	348
scaffold_1	26742	28367	+	SWED.40.5.17_000006-T1		g00691_1	98	346	348
scaffold_1	28436	29023	-	SWED.40.5.17_000007-T1		g04916	98	344	345
scaffold_1	29377	31263	+	SWED.40.5.17_000008-T1		g01742	98	346	1038
scaffold_1	31249	33692	+	SWED.40.5.17_000009-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	33516	35473	-	SWED.40.5.17_000010-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	35575	37251	-	SWED.40.5.17_000011-T1	sorting nexin	g03562	98	345	346
scaffold_1	37813	39423	+	SWED.40.5.17_000012-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	39457	44913	-	SWED.40.5.17_000013-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	52063	55518	-	SWED.40.5.17_000017-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	55623	56021	-	SWED.40.5.17_000018-T1		g00397	98	346	1037
scaffold_1	57741	58973	-	SWED.40.5.17_000019-T1		g00160_3	98	327	331
scaffold_1	61674	64289	+	SWED.40.5.17_000020-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	64369	68497	+	SWED.40.5.17_000021-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	69213	71678	+	SWED.40.5.17_000022-T1		g00027_15	98	345	347
scaffold_1	72440	75999	+	SWED.40.5.17_000023-T1		g00760_1	98	345	350
scaffold_1	76077	78377	+	SWED.40.5.17_000024-T1		g02137	98	346	350
scaffold_1	78371	81713	-	SWED.40.5.17_000025-T1		g00034_2	98	346	348
scaffold_1	82381	83853	-	SWED.40.5.17_000026-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	85656	86991	+	SWED.40.5.17_000027-T1		g00528	98	344	346
scaffold_1	87003	90748	-	SWED.40.5.17_000028-T1		g01711	98	346	349
scaffold_1	90846	91970	-	SWED.40.5.17_000029-T1		g01786	98	345	688
scaffold_1	92279	94491	-	SWED.40.5.17_000030-T1		g01786	98	345	688
scaffold_1	95092	95784	-	SWED.40.5.17_000031-T1		g02596	98	346	347
scaffold_1	95840	96430	-	SWED.40.5.17_000032-T1		g00017	98	346	346
scaffold_1	98426	98707	+	SWED.40.5.17_000033-T1		g00460_2	98	346	1202
scaffold_1	99244	100204	-	SWED.40.5.17_000034-T1		g02790	98	345	348
scaffold_1	100522	101387	+	SWED.40.5.17_000035-T1		g00460_2	98	346	1202
scaffold_1	101416	104335	-	SWED.40.5.17_000036-T1	ERMES complex subunit	g00460_2	98	346	1202
scaffold_1	104518	105116	-	SWED.40.5.17_000037-T1	Nuclear receptor 2C2-associated protein	g00460_2	98	346	1202
scaffold_1	105162	107189	-	SWED.40.5.17_000038-T1		g00597_2	98	346	1042
scaffold_1	107471	109049	+	SWED.40.5.17_000039-T1	Cyclin-dependent kinase 20	g02691	98	346	347
scaffold_1	109067	109726	-	SWED.40.5.17_000040-T1		g06005	98	343	344
scaffold_1	109825	113021	+	SWED.40.5.17_000041-T1	AdoMet-dependent rRNA methyltransferase spb1	g00027_82	98	346	676
scaffold_1	113518	115149	+	SWED.40.5.17_000042-T1		g00027_82	98	346	676
scaffold_1	115197	116600	-	SWED.40.5.17_000043-T1		g02042	98	345	346
scaffold_1	117644	121685	-	SWED.40.5.17_000044-T1		g00942	98	346	678
scaffold_1	121905	123111	-	SWED.40.5.17_000045-T1		g00942	98	346	678
scaffold_1	123404	124349	-	SWED.40.5.17_000046-T1		g01350	98	346	1045
scaffold_1	124978	126869	-	SWED.40.5.17_000047-T1	DnaJ sub C member 7	g01159	98	346	788
scaffold_1	127034	127551	-	SWED.40.5.17_000048-T1		g01159	98	346	788
scaffold_1	127693	130028	+	SWED.40.5.17_000049-T1		g00573_2	98	346	1046
scaffold_1	131207	136231	-	SWED.40.5.17_000050-T1	Phosphatidylinositol 4-kinase pik1alpha (PI4-kinase)(PtdIns-4-kinase)	g00573_2	98	346	1046
scaffold_1	136209	137432	-	SWED.40.5.17_000051-T1	Ribosomal RNA small subunit methyltransferase mra1	g01257	98	345	1037
scaffold_1	137710	142197	-	SWED.40.5.17_000052-T1		g00047_5	98	345	686
