CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	2099	3735	+	Lhurs13No4_000001-T1		g00025_19	90	345	4663
scaffold_1	6377	8166	-	Lhurs13No4_006980-T1		g00025_19	90	345	4663
scaffold_1	9565	10511	+	Lhurs13No4_000002-T1		g00025_21	80	339	4229
scaffold_1	11372	13288	-	Lhurs13No4_000003-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	16181	17427	+	Lhurs13No4_000004-T1		g01053_1	98	341	341
scaffold_1	18679	20482	+	Lhurs13No4_000005-T1		g01027_2	98	346	695
scaffold_1	20677	23988	-	Lhurs13No4_000006-T1		g00815_2	80	344	348
scaffold_1	24933	26558	+	Lhurs13No4_000007-T1		g00691_1	98	346	348
scaffold_1	26627	27214	-	Lhurs13No4_000008-T1		g04916	98	344	345
scaffold_1	27567	29556	+	Lhurs13No4_000009-T1		g01742	98	346	1038
scaffold_1	29442	31885	+	Lhurs13No4_000010-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	31709	33666	-	Lhurs13No4_000011-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	33768	35444	-	Lhurs13No4_000012-T1	sorting nexin	g03562	98	345	346
scaffold_1	36006	37616	+	Lhurs13No4_000013-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	37650	43106	-	Lhurs13No4_000014-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	50256	53711	-	Lhurs13No4_000018-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	53816	54214	-	Lhurs13No4_000019-T1		g00397	98	346	1037
scaffold_1	55935	57167	-	Lhurs13No4_000020-T1		g00160_3	98	327	331
scaffold_1	59868	62483	+	Lhurs13No4_000021-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	62563	66691	+	Lhurs13No4_000022-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	67407	69872	+	Lhurs13No4_000023-T1		g00027_15	98	345	347
scaffold_1	70634	74193	+	Lhurs13No4_000024-T1		g00760_1	98	345	350
scaffold_1	74271	76571	+	Lhurs13No4_000025-T1		g02137	98	346	350
scaffold_1	76565	79907	-	Lhurs13No4_000026-T1		g00034_2	98	346	348
scaffold_1	80575	82047	-	Lhurs13No4_000027-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	84132	85057	+	Lhurs13No4_000028-T1		g00528	98	344	346
scaffold_1	85271	89016	-	Lhurs13No4_000029-T1		g01711	98	346	349
scaffold_1	89114	90238	-	Lhurs13No4_000030-T1		g01786	98	345	688
scaffold_1	90545	92757	-	Lhurs13No4_000031-T1		g01786	98	345	688
scaffold_1	93358	94050	-	Lhurs13No4_000032-T1		g02596	98	346	347
scaffold_1	94106	94696	-	Lhurs13No4_000033-T1		g00017	98	346	346
scaffold_1	97510	98470	-	Lhurs13No4_000034-T1		g02790	98	345	348
scaffold_1	98788	99653	+	Lhurs13No4_000035-T1		g00460_2	98	346	1202
scaffold_1	99682	102601	-	Lhurs13No4_000036-T1	ERMES complex subunit	g00460_2	98	346	1202
scaffold_1	102784	103382	-	Lhurs13No4_000037-T1	Nuclear receptor 2C2-associated protein	g00460_2	98	346	1202
scaffold_1	103428	105455	-	Lhurs13No4_000038-T1		g00597_2	98	346	1042
scaffold_1	105737	107315	+	Lhurs13No4_000039-T1	Cyclin-dependent kinase 20	g02691	98	346	347
scaffold_1	107333	107992	-	Lhurs13No4_000040-T1		g06005	98	343	344
scaffold_1	108091	111287	+	Lhurs13No4_000041-T1	AdoMet-dependent rRNA methyltransferase spb1	g00027_82	98	346	676
scaffold_1	111784	113415	+	Lhurs13No4_000042-T1		g00027_82	98	346	676
scaffold_1	113463	114820	-	Lhurs13No4_000043-T1		g02042	98	345	346
scaffold_1	115846	119939	-	Lhurs13No4_000044-T1		g00942	98	346	678
scaffold_1	120159	121365	-	Lhurs13No4_000045-T1		g00942	98	346	678
scaffold_1	121658	122603	-	Lhurs13No4_000046-T1		g01350	98	346	1045
scaffold_1	123153	125876	-	Lhurs13No4_000047-T1	DnaJ sub C member 7	g01159	98	346	788
scaffold_1	125947	128282	+	Lhurs13No4_000048-T1		g00573_2	98	346	1046
scaffold_1	129461	134485	-	Lhurs13No4_000049-T1	Phosphatidylinositol 4-kinase pik1alpha (PI4-kinase)(PtdIns-4-kinase)	g00573_2	98	346	1046
scaffold_1	134463	135686	-	Lhurs13No4_000050-T1	Ribosomal RNA small subunit methyltransferase mra1	g01257	98	345	1037
scaffold_1	135964	140451	-	Lhurs13No4_000051-T1		g00047_5	98	345	686
scaffold_1	140803	141600	-	Lhurs13No4_000052-T1		g00047_5	98	345	686
scaffold_1	141535	149973	+	Lhurs13No4_000053-T1	kinase subunit of RNA polymerase II carboxy-terminal domain kinase I	g00568	98	346	1056
scaffold_1	146896	150025	-	Lhurs13No4_000054-T1	GTP binding protein	g00568	98	346	1056
scaffold_1	151458	153305	+	Lhurs13No4_000055-T1		g00070	98	346	1251
scaffold_1	153817	155429	+	Lhurs13No4_000056-T1		g02626	98	344	344
scaffold_1	156041	157096	-	Lhurs13No4_000057-T1	casein kinase 2 regulatory subunit	g00523	98	346	1737
scaffold_1	157473	158722	-	Lhurs13No4_000058-T1	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like protein	g00523	98	346	1737
scaffold_1	159214	162235	-	Lhurs13No4_000059-T1		g00179_3	98	345	692
scaffold_1	162811	165650	+	Lhurs13No4_000060-T1		g00531	98	346	1417
scaffold_1	165789	168359	+	Lhurs13No4_000061-T1		g00026_223	80	346	8582
scaffold_1	168367	168806	-	Lhurs13No4_000062-T1		g03743	98	344	345
