CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	9184	10130	+	VA02_000001-T1		g00025_21	80	339	4229
scaffold_1	11065	12981	-	VA02_000002-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	15770	17016	+	VA02_000003-T1		g01053_1	98	341	341
scaffold_1	18268	20071	+	VA02_000004-T1		g01027_2	98	346	695
scaffold_1	20266	23577	-	VA02_000005-T1		g00815_2	80	344	348
scaffold_1	24522	26147	+	VA02_000006-T1		g00691_1	98	346	348
scaffold_1	26216	26803	-	VA02_000007-T1		g04916	98	344	345
scaffold_1	27157	29043	+	VA02_000008-T1		g01742	98	346	1038
scaffold_1	29029	31472	+	VA02_000009-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	31296	33253	-	VA02_000010-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	33355	35031	-	VA02_000011-T1	sorting nexin	g03562	98	345	346
scaffold_1	35593	37203	+	VA02_000012-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	37237	42693	-	VA02_000013-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	49844	53299	-	VA02_000017-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	53404	53802	-	VA02_000018-T1		g00397	98	346	1037
scaffold_1	55520	56752	-	VA02_000019-T1		g00160_3	98	327	331
scaffold_1	59453	62068	+	VA02_000020-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	62148	66276	+	VA02_000021-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	66992	69457	+	VA02_000022-T1		g00027_15	98	345	347
scaffold_1	70219	73778	+	VA02_000023-T1		g00760_1	98	345	350
scaffold_1	73856	76156	+	VA02_000024-T1		g02137	98	346	350
scaffold_1	76150	79492	-	VA02_000025-T1		g00034_2	98	346	348
scaffold_1	80160	81632	-	VA02_000026-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	83435	84770	+	VA02_000027-T1		g00528	98	344	346
scaffold_1	84782	88527	-	VA02_000028-T1		g01711	98	346	349
scaffold_1	88625	89749	-	VA02_000029-T1		g01786	98	345	688
scaffold_1	90058	92270	-	VA02_000030-T1		g01786	98	345	688
scaffold_1	92871	93563	-	VA02_000031-T1		g02596	98	346	347
