CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	4208	5997	-	SFBC014GB_006973-T1		g00025_19	90	345	4663
scaffold_1	8197	9143	+	SFBC014GB_000001-T1		g00025_21	80	339	4229
scaffold_1	10109	12025	-	SFBC014GB_000002-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	14814	16060	+	SFBC014GB_000003-T1		g01053_1	98	341	341
scaffold_1	17312	19115	+	SFBC014GB_000004-T1		g01027_2	98	346	695
scaffold_1	19310	22621	-	SFBC014GB_000005-T1		g00815_2	80	344	348
scaffold_1	23566	25191	+	SFBC014GB_000006-T1		g00691_1	98	346	348
scaffold_1	25260	25847	-	SFBC014GB_000007-T1		g04916	98	344	345
scaffold_1	26201	28087	+	SFBC014GB_000008-T1		g01742	98	346	1038
scaffold_1	28073	30516	+	SFBC014GB_000009-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	30340	32297	-	SFBC014GB_000010-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	32399	34075	-	SFBC014GB_000011-T1	sorting nexin	g03562	98	345	346
scaffold_1	34637	36247	+	SFBC014GB_000012-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	36281	41737	-	SFBC014GB_000013-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	48888	52343	-	SFBC014GB_000017-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	52448	52846	-	SFBC014GB_000018-T1		g00397	98	346	1037
scaffold_1	54564	55796	-	SFBC014GB_000019-T1		g00160_3	98	327	331
scaffold_1	58497	61112	+	SFBC014GB_000020-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	61192	65320	+	SFBC014GB_000021-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	66036	68501	+	SFBC014GB_000022-T1		g00027_15	98	345	347
scaffold_1	69263	72822	+	SFBC014GB_000023-T1		g00760_1	98	345	350
scaffold_1	72900	75200	+	SFBC014GB_000024-T1		g02137	98	346	350
scaffold_1	75194	78536	-	SFBC014GB_000025-T1		g00034_2	98	346	348
scaffold_1	79204	80676	-	SFBC014GB_000026-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	82479	83814	+	SFBC014GB_000027-T1		g00528	98	344	346
