CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	6444	7151	+	SA.EC5_000001-T1		g00025_21	80	339	4229
scaffold_1	7972	9888	-	SA.EC5_000002-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	12723	13971	+	SA.EC5_000003-T1		g01053_1	98	341	341
scaffold_1	15223	17032	+	SA.EC5_000004-T1		g01027_2	98	346	695
scaffold_1	17227	20539	-	SA.EC5_000005-T1		g00815_2	80	344	348
scaffold_1	21484	23109	+	SA.EC5_000006-T1		g00691_1	98	346	348
scaffold_1	23178	23765	-	SA.EC5_000007-T1		g04916	98	344	345
scaffold_1	24119	26005	+	SA.EC5_000008-T1		g01742	98	346	1038
scaffold_1	25991	28434	+	SA.EC5_000009-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	28258	30215	-	SA.EC5_000010-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	30317	31993	-	SA.EC5_000011-T1	sorting nexin	g03562	98	345	346
scaffold_1	32556	34166	+	SA.EC5_000012-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	34200	39656	-	SA.EC5_000013-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	46810	50265	-	SA.EC5_000017-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	50370	50768	-	SA.EC5_000018-T1		g00397	98	346	1037
scaffold_1	52487	53719	-	SA.EC5_000019-T1		g00160_3	98	327	331
scaffold_1	56411	59026	+	SA.EC5_000020-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	59106	63234	+	SA.EC5_000021-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	63950	66415	+	SA.EC5_000022-T1		g00027_15	98	345	347
scaffold_1	67179	70738	+	SA.EC5_000023-T1		g00760_1	98	345	350
scaffold_1	70816	73116	+	SA.EC5_000024-T1		g02137	98	346	350
scaffold_1	73110	76452	-	SA.EC5_000025-T1		g00034_2	98	346	348
scaffold_1	77120	78592	-	SA.EC5_000026-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	79646	80327	+	SA.EC5_000027-T1		g00026_223	80	346	8582
scaffold_1	81062	81665	+	SA.EC5_000028-T1		g00528	98	344	346
scaffold_1	81801	85546	-	SA.EC5_000029-T1		g01711	98	346	349
scaffold_1	85644	86768	-	SA.EC5_000030-T1		g01786	98	345	688
scaffold_1	87075	89287	-	SA.EC5_000031-T1		g01786	98	345	688
scaffold_1	89888	90580	-	SA.EC5_000032-T1		g02596	98	346	347
