CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	8048	9837	-	TER4.2_007213-T1		g00025_19	90	345	4663
scaffold_1	10536	11482	+	TER4.2_000001-T1		g00025_21	80	339	4229
scaffold_1	12417	14333	-	TER4.2_000002-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	17122	18368	+	TER4.2_000003-T1		g01053_1	98	341	341
scaffold_1	19620	21423	+	TER4.2_000004-T1		g01027_2	98	346	695
scaffold_1	21618	24929	-	TER4.2_000005-T1		g00815_2	80	344	348
scaffold_1	25874	27499	+	TER4.2_000006-T1		g00691_1	98	346	348
scaffold_1	27568	28155	-	TER4.2_000007-T1		g04916	98	344	345
scaffold_1	28509	30395	+	TER4.2_000008-T1		g01742	98	346	1038
scaffold_1	30381	32824	+	TER4.2_000009-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	32648	34605	-	TER4.2_000010-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	34707	36383	-	TER4.2_000011-T1	sorting nexin	g03562	98	345	346
scaffold_1	36945	38555	+	TER4.2_000012-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	38589	44045	-	TER4.2_000013-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	51196	54651	-	TER4.2_000017-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	54756	55154	-	TER4.2_000018-T1		g00397	98	346	1037
scaffold_1	56872	58104	-	TER4.2_000019-T1		g00160_3	98	327	331
scaffold_1	60805	63420	+	TER4.2_000020-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	63500	67628	+	TER4.2_000021-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	68344	70809	+	TER4.2_000022-T1		g00027_15	98	345	347
scaffold_1	71571	75130	+	TER4.2_000023-T1		g00760_1	98	345	350
scaffold_1	75208	77508	+	TER4.2_000024-T1		g02137	98	346	350
scaffold_1	77502	80844	-	TER4.2_000025-T1		g00034_2	98	346	348
scaffold_1	81512	82984	-	TER4.2_000026-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	84787	86122	+	TER4.2_000027-T1		g00528	98	344	346
scaffold_1	86134	89879	-	TER4.2_000028-T1		g01711	98	346	349
scaffold_1	89977	91101	-	TER4.2_000029-T1		g01786	98	345	688
scaffold_1	91410	93622	-	TER4.2_000030-T1		g01786	98	345	688
scaffold_1	94223	94915	-	TER4.2_000031-T1		g02596	98	346	347
scaffold_1	94971	95561	-	TER4.2_000032-T1		g00017	98	346	346
scaffold_1	96213	97753	+	TER4.2_000033-T1		g00460_2	98	346	1202
scaffold_1	98290	99250	-	TER4.2_000034-T1		g02790	98	345	348
scaffold_1	99568	100433	+	TER4.2_000035-T1		g00460_2	98	346	1202
scaffold_1	100344	104212	-	TER4.2_000036-T1	ERMES complex subunit	g00460_2	98	346	1202
scaffold_1	103564	106235	-	TER4.2_000037-T1	Nuclear receptor 2C2-associated protein	g00597_2	98	346	1042
scaffold_1	106517	108095	+	TER4.2_000038-T1	Cyclin-dependent kinase 20	g02691	98	346	347
scaffold_1	108113	108772	-	TER4.2_000039-T1		g06005	98	343	344
scaffold_1	108871	112067	+	TER4.2_000040-T1	AdoMet-dependent rRNA methyltransferase spb1	g00027_82	98	346	676
scaffold_1	112564	114195	+	TER4.2_000041-T1		g00027_82	98	346	676
