CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	10618	12407	-	FG32_006897-T1		g00025_19	90	345	4663
scaffold_1	13347	14293	+	FG32_000001-T1		g00025_21	80	339	4229
scaffold_1	15228	17144	-	FG32_000002-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	19933	21179	+	FG32_000003-T1		g01053_1	98	341	341
scaffold_1	22431	24234	+	FG32_000004-T1		g01027_2	98	346	695
scaffold_1	24429	27740	-	FG32_000005-T1		g00815_2	80	344	348
scaffold_1	28685	30310	+	FG32_000006-T1		g00691_1	98	346	348
scaffold_1	30379	30966	-	FG32_000007-T1		g04916	98	344	345
scaffold_1	31320	33206	+	FG32_000008-T1		g01742	98	346	1038
scaffold_1	33192	35635	+	FG32_000009-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	35459	37416	-	FG32_000010-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	37518	39194	-	FG32_000011-T1	sorting nexin	g03562	98	345	346
scaffold_1	39756	41366	+	FG32_000012-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	41400	46856	-	FG32_000013-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	54007	57462	-	FG32_000017-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	57567	57965	-	FG32_000018-T1		g00397	98	346	1037
scaffold_1	59683	60915	-	FG32_000019-T1		g00160_3	98	327	331
scaffold_1	63616	66231	+	FG32_000020-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	66311	70439	+	FG32_000021-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	71155	73620	+	FG32_000022-T1		g00027_15	98	345	347
scaffold_1	74382	77941	+	FG32_000023-T1		g00760_1	98	345	350
scaffold_1	78019	80319	+	FG32_000024-T1		g02137	98	346	350
scaffold_1	80313	83655	-	FG32_000025-T1		g00034_2	98	346	348
scaffold_1	84323	85795	-	FG32_000026-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	87598	88933	+	FG32_000027-T1		g00528	98	344	346
scaffold_1	88945	92690	-	FG32_000028-T1		g01711	98	346	349
scaffold_1	92788	93912	-	FG32_000029-T1		g01786	98	345	688
scaffold_1	94221	96433	-	FG32_000030-T1		g01786	98	345	688
scaffold_1	97034	97726	-	FG32_000031-T1		g02596	98	346	347
scaffold_1	97782	98372	-	FG32_000032-T1		g00017	98	346	346
scaffold_1	99024	100564	+	FG32_000033-T1		g00460_2	98	346	1202
scaffold_1	101101	102061	-	FG32_000034-T1		g02790	98	345	348
scaffold_1	102379	103244	+	FG32_000035-T1		g00460_2	98	346	1202
scaffold_1	103155	107023	-	FG32_000036-T1	ERMES complex subunit	g00460_2	98	346	1202
scaffold_1	106375	109046	-	FG32_000037-T1	Nuclear receptor 2C2-associated protein	g00597_2	98	346	1042
scaffold_1	109328	110906	+	FG32_000038-T1	Cyclin-dependent kinase 20	g02691	98	346	347
scaffold_1	110919	111583	-	FG32_000039-T1		g06005	98	343	344
scaffold_1	111682	114878	+	FG32_000040-T1	AdoMet-dependent rRNA methyltransferase spb1	g00027_82	98	346	676
scaffold_1	115375	117006	+	FG32_000041-T1		g00027_82	98	346	676
scaffold_1	117054	118411	-	FG32_000042-T1		g02042	98	345	346
scaffold_1	119310	123363	-	FG32_000043-T1		g00942	98	346	678
scaffold_1	123583	124789	-	FG32_000044-T1		g00942	98	346	678
scaffold_1	125082	125967	-	FG32_000045-T1		g01350	98	346	1045
scaffold_1	126577	129300	-	FG32_000046-T1	DnaJ sub C member 7	g01159	98	346	788
scaffold_1	129371	131706	+	FG32_000047-T1		g00573_2	98	346	1046
scaffold_1	132885	137909	-	FG32_000048-T1	Phosphatidylinositol 4-kinase pik1alpha (PI4-kinase)(PtdIns-4-kinase)	g00573_2	98	346	1046
scaffold_1	137887	139110	-	FG32_000049-T1	Ribosomal RNA small subunit methyltransferase mra1	g01257	98	345	1037
scaffold_1	139388	143875	-	FG32_000050-T1		g00047_5	98	345	686
scaffold_1	144227	145024	-	FG32_000051-T1		g00047_5	98	345	686
scaffold_1	144959	153397	+	FG32_000052-T1	kinase subunit of RNA polymerase II carboxy-terminal domain kinase I	g00568	98	346	1056
scaffold_1	150320	153449	-	FG32_000053-T1	GTP binding protein	g00568	98	346	1056
scaffold_1	154882	156018	+	FG32_000054-T1		g00070	98	346	1251
scaffold_1	156549	158190	+	FG32_000055-T1	ribosome bioproteinsis protein tsr3	g00070	98	346	1251
scaffold_1	158105	158953	-	FG32_000056-T1		g00070	98	346	1251
scaffold_1	159099	159881	+	FG32_000057-T1		g00070	98	346	1251
scaffold_1	160394	162006	+	FG32_000058-T1		g02626	98	344	344
scaffold_1	162618	163673	-	FG32_000059-T1	casein kinase 2 regulatory subunit	g00523	98	346	1737
scaffold_1	164050	165299	-	FG32_000060-T1	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like protein	g00523	98	346	1737
scaffold_1	165792	168810	-	FG32_000061-T1		g00179_3	98	345	692
scaffold_1	169386	172225	+	FG32_000062-T1		g00531	98	346	1417
scaffold_1	172364	174933	+	FG32_000063-T1		g00026_223	80	346	8582
scaffold_1	174941	175380	-	FG32_000064-T1		g03743	98	344	345
scaffold_1	175615	177660	+	FG32_000065-T1	mitotic spindle checkpoint protein Bub3	g00026_223	80	346	8582
scaffold_1	177871	179540	+	FG32_000066-T1		g00164	98	345	2131
scaffold_1	180050	182423	+	FG32_000067-T1		g01374	98	345	512
scaffold_1	182483	184366	+	FG32_000068-T1		g03321	98	344	348
scaffold_1	184403	187833	-	FG32_000069-T1		g00168_2	98	345	2842
scaffold_1	190261	190962	-	FG32_000070-T1		g01113	98	345	948
scaffold_1	191404	193425	+	FG32_000071-T1		g01113	98	345	948
scaffold_1	193519	195384	+	FG32_000072-T1		g01709_2	95	134	134
scaffold_1	196918	198305	-	FG32_000074-T1		g01709_1	98	342	343
scaffold_1	198856	200875	-	FG32_000075-T1		g00099_2	98	343	344
scaffold_1	201225	202694	+	FG32_000076-T1		g02366	98	344	347
scaffold_1	202988	204593	+	FG32_000077-T1		g01049	98	346	1035
scaffold_1	205689	207241	+	FG32_000078-T1		g01155	98	345	668
scaffold_1	207344	209425	+	FG32_000079-T1		g00099_3	98	345	684
scaffold_1	209421	210606	-	FG32_000080-T1		g00532	98	346	1693
scaffold_1	210690	211833	+	FG32_000081-T1		g00133_3	98	345	1029
scaffold_1	211830	214467	-	FG32_000082-T1		g00099_3	98	345	684
scaffold_1	214464	216433	-	FG32_000083-T1		g02009	98	343	343
scaffold_1	216568	217146	+	FG32_000084-T1	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase subunit dad1	g02566	98	344	686
scaffold_1	217122	218887	-	FG32_000085-T1	Elongation factor 1-beta	g02566	98	344	686
scaffold_1	219115	223839	+	FG32_000086-T1	Coatomer subunit beta'	g00355	98	344	701
scaffold_1	224549	226823	-	FG32_000087-T1	transforming growth factor beta regulator 1	g00034_21	90	346	856
scaffold_1	227992	230557	+	FG32_000088-T1		g01642	98	344	862
scaffold_1	231291	232152	+	FG32_000089-T1		g01642	98	344	862
scaffold_1	232184	233148	-	FG32_000090-T1		g00205_1	98	342	343
scaffold_1	233629	237111	-	FG32_000091-T1	chaperone ATPase hsp78	g00310_2	98	345	686
scaffold_1	241416	244063	+	FG32_000092-T1		g01208_1	98	344	383
scaffold_1	247684	249935	+	FG32_000093-T1		g01840	98	345	353
scaffold_1	250015	251658	+	FG32_000094-T1		g01277	98	345	1042
scaffold_1	252146	253113	-	FG32_000095-T1		g00068_4	95	338	341
scaffold_1	253766	254677	-	FG32_000096-T1		g01199	70	346	1778
scaffold_1	254922	256450	-	FG32_000097-T1	Golgi to ER traffic- protein	g01199	70	346	1778
scaffold_1	256706	257498	-	FG32_000098-T1	LYR motif-containing protein 5	g00920	98	345	1047
scaffold_1	257624	260074	+	FG32_000099-T1	Peptidyl-prolyl isomerase cwc27	g00920	98	345	1047
scaffold_1	260161	264446	-	FG32_000100-T1	DNA helicase rad5	g00920	98	345	1047
scaffold_1	264580	269400	-	FG32_000102-T1	Cullin-2	g02086	98	344	687
scaffold_1	264951	265701	+	FG32_000101-T1	30S ribosomal protein S12	g02086	98	344	687
scaffold_1	269838	271402	-	FG32_000103-T1	ferrochelatase hem15	g00032_1	98	344	345
scaffold_1	271494	273666	+	FG32_000104-T1		g00796	98	345	1040
scaffold_1	273407	276664	-	FG32_000105-T1		g00796	98	345	1040
scaffold_1	275978	280524	+	FG32_000106-T1	HEAT repeat-containing protein 2	g01137	98	345	352
scaffold_1	281214	286293	-	FG32_000107-T1		g00032_4	98	345	1700
scaffold_1	286435	289785	+	FG32_000108-T1	Leucine-rich repeat-containing protein 71	g00032_4	98	345	1700
scaffold_1	289875	291078	-	FG32_000109-T1		g00032_4	98	345	1700
scaffold_1	291403	294165	+	FG32_000110-T1		g01886	98	345	691
scaffold_1	294172	295967	-	FG32_000111-T1		g00067_11	98	345	1038
scaffold_1	296462	299696	-	FG32_000112-T1		g00253_2	98	345	1038
scaffold_1	299421	301110	+	FG32_000113-T1		g00253_2	98	345	1038
scaffold_1	301774	303106	+	FG32_000114-T1	ASF1 anti-silencing function 1	g00253_2	98	345	1038
scaffold_1	303212	305003	+	FG32_000115-T1		g00822_1	98	343	345
scaffold_1	304997	306774	-	FG32_000116-T1	Intraflagellar transport protein 43	g02531	98	343	345
scaffold_1	306775	308058	-	FG32_000117-T1	DNA-directed RNA polymerase II subunit	g00822_2	98	341	345
scaffold_1	308814	310877	+	FG32_000118-T1		g02404	98	344	347
scaffold_1	311732	314648	+	FG32_000119-T1	Putative choline transporter, neither null mutation nor overexpression affects choline transport	g00026_168	90	335	335
scaffold_1	314913	319736	+	FG32_000120-T1	Integrator complex subunit 2	g00273	98	345	689
scaffold_1	319664	325571	-	FG32_000121-T1	Dicer-like protein 2	g00273	98	345	689
scaffold_1	326041	328214	+	FG32_000122-T1		g00096	98	345	3923
scaffold_1	328218	329253	-	FG32_000123-T1	exosome non-catalytic core subunit rrp40	g00366	98	345	692
scaffold_1	332336	336932	+	FG32_000124-T1		g01945	98	345	690
scaffold_1	336253	337380	-	FG32_000125-T1		g01945	98	345	690
scaffold_1	338422	340385	+	FG32_000126-T1		g00039_2	98	345	1323
scaffold_1	340836	341804	-	FG32_000127-T1		g01614	98	344	684
scaffold_1	342224	344592	-	FG32_000128-T1		g01614	98	344	684
scaffold_1	345481	346931	+	FG32_000129-T1		g00026_112	98	341	341
scaffold_1	347396	348207	+	FG32_000130-T1		g00269_4	98	345	1043
scaffold_1	348545	352380	+	FG32_000131-T1		g00026_169	98	344	354
scaffold_1	352560	355211	-	FG32_000132-T1		g00026_184	98	336	340
scaffold_1	355295	356966	+	FG32_000133-T1		g01571	98	345	554
scaffold_1	358211	365711	+	FG32_000134-T1		g00102_2	98	343	360
scaffold_1	365846	368288	-	FG32_000135-T1		g01593	98	345	735
scaffold_1	368351	370672	+	FG32_000136-T1	glucosyltransferase	g00516_1	98	345	957
scaffold_1	370651	373334	+	FG32_000137-T1	spermidine resistance protein	g02107	98	343	347
scaffold_1	373347	374954	+	FG32_000138-T1		g01239	98	346	697
scaffold_1	375247	376325	-	FG32_000139-T1		g00269_4	98	345	1043
scaffold_1	376411	378879	+	FG32_000140-T1		g00269_4	98	345	1043
scaffold_1	378899	379589	-	FG32_000141-T1	PQ loop repeat-containing protein 2	g00596	98	345	1429
scaffold_1	383717	386520	+	FG32_000142-T1	Mitogen-activated protein kinase	g00233	98	346	576
scaffold_1	387437	389360	+	FG32_000143-T1	Type I HSP40 co-chaperone	g00199	98	346	3297
scaffold_1	389382	392465	-	FG32_000144-T1		g00199	98	346	3297
scaffold_1	393078	396197	+	FG32_000145-T1	U3 snoRNP protein	g01224	98	346	349
scaffold_1	396480	397793	+	FG32_000146-T1	25S rRNA (adenine645-N1)-methyltransferase	g00007	98	346	346
scaffold_1	398167	399493	+	FG32_000147-T1		g01470_1	98	346	347
scaffold_1	399718	400967	-	FG32_000148-T1		g01470_2	98	248	248
scaffold_1	401281	407168	-	FG32_000149-T1	Chromosome-associated kinesin kif4a	g00401_2	98	345	789
scaffold_1	407268	409845	-	FG32_000150-T1		g00401_2	98	345	789
scaffold_1	410074	412941	-	FG32_000151-T1	Transmembrane protein 19	g00026_61	95	344	378
scaffold_1	413061	414672	+	FG32_000152-T1	Tetratricopeptide repeat protein 4	g02126	98	343	343
scaffold_1	414919	416871	-	FG32_000153-T1		g02022	98	344	344
scaffold_1	417259	418537	+	FG32_000154-T1		g00653_3	98	346	690
scaffold_1	417626	423403	-	FG32_000155-T1		g00653_3	98	346	690
scaffold_1	423514	425283	+	FG32_000156-T1		g00653_2	98	345	358
scaffold_1	425509	427164	+	FG32_000157-T1		g00653_1	98	345	345
scaffold_1	426774	430138	-	FG32_000158-T1		g00252	98	346	1382
scaffold_1	430487	431603	-	FG32_000159-T1		g02511	98	345	345
scaffold_1	431669	435791	+	FG32_000160-T1		g00571_2	98	345	711
scaffold_1	435020	439584	-	FG32_000161-T1	High affinity Ca2+/Mn2+ P-type ATPase-like protein	g00571_2	98	345	711
scaffold_1	439912	441805	-	FG32_000162-T1		g00317_1	95	339	341
scaffold_1	443030	444826	+	FG32_000163-T1		g00732_2	98	346	1362
scaffold_1	445009	446419	+	FG32_000164-T1		g00732_2	98	346	1362
scaffold_1	446484	447719	-	FG32_000165-T1		g06289	98	343	345
scaffold_1	452666	453204	+	FG32_000166-T1		g00732_2	98	346	1362
