CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	347	2263	-	JEL429_000001-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	4464	5710	+	JEL429_000002-T1		g01053_1	98	341	341
scaffold_1	6962	8771	+	JEL429_000003-T1		g01027_2	98	346	695
scaffold_1	8966	12277	-	JEL429_000004-T1		g00815_2	80	344	348
scaffold_1	13222	14847	+	JEL429_000005-T1		g00691_1	98	346	348
scaffold_1	14916	15503	-	JEL429_000006-T1		g04916	98	344	345
scaffold_1	15857	17745	+	JEL429_000007-T1		g01742	98	346	1038
scaffold_1	17731	20174	+	JEL429_000008-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	19998	21955	-	JEL429_000009-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	22057	23733	-	JEL429_000010-T1	sorting nexin	g03562	98	345	346
scaffold_1	24295	25905	+	JEL429_000011-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	25939	31395	-	JEL429_000012-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	38545	42000	-	JEL429_000016-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	42105	42503	-	JEL429_000017-T1		g00397	98	346	1037
scaffold_1	46806	49421	+	JEL429_000018-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	49501	53629	+	JEL429_000019-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	54345	56810	+	JEL429_000020-T1		g00027_15	98	345	347
scaffold_1	57572	61131	+	JEL429_000021-T1		g00760_1	98	345	350
scaffold_1	61209	63509	+	JEL429_000022-T1		g02137	98	346	350
scaffold_1	63503	66845	-	JEL429_000023-T1		g00034_2	98	346	348
scaffold_1	67513	68985	-	JEL429_000024-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	70788	72123	+	JEL429_000025-T1		g00528	98	344	346
scaffold_1	72135	75880	-	JEL429_000026-T1		g01711	98	346	349
scaffold_1	75978	77102	-	JEL429_000027-T1		g01786	98	345	688
scaffold_1	77409	79621	-	JEL429_000028-T1		g01786	98	345	688
scaffold_1	80220	80912	-	JEL429_000029-T1		g02596	98	346	347
scaffold_1	80968	81557	-	JEL429_000030-T1		g00017	98	346	346
scaffold_1	82186	83822	+	JEL429_000031-T1		g00460_2	98	346	1202
scaffold_1	84260	85220	-	JEL429_000032-T1		g02790	98	345	348
scaffold_1	85538	86403	+	JEL429_000033-T1		g00460_2	98	346	1202
scaffold_1	86432	89351	-	JEL429_000034-T1	ERMES complex subunit	g00460_2	98	346	1202
scaffold_1	89534	90132	-	JEL429_000035-T1	Nuclear receptor 2C2-associated protein	g00460_2	98	346	1202
scaffold_1	90178	92205	-	JEL429_000036-T1		g00597_2	98	346	1042
scaffold_1	92487	94065	+	JEL429_000037-T1	Cyclin-dependent kinase 20	g02691	98	346	347
scaffold_1	94083	94742	-	JEL429_000038-T1		g06005	98	343	344
scaffold_1	94841	97978	+	JEL429_000039-T1	AdoMet-dependent rRNA methyltransferase spb1	g00027_82	98	346	676
scaffold_1	98309	99307	+	JEL429_000040-T1		g00027_82	98	346	676
scaffold_1	99757	101114	-	JEL429_000041-T1		g02042	98	345	346
scaffold_1	102204	104503	-	JEL429_000042-T1		g00942	98	346	678
scaffold_1	107927	108812	-	JEL429_000043-T1		g01350	98	346	1045
scaffold_1	109422	112145	-	JEL429_000044-T1	DnaJ sub C member 7	g01159	98	346	788
scaffold_1	112216	114551	+	JEL429_000045-T1		g00573_2	98	346	1046
scaffold_1	115876	120900	-	JEL429_000046-T1	Phosphatidylinositol 4-kinase pik1alpha (PI4-kinase)(PtdIns-4-kinase)	g00573_2	98	346	1046
