CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	569	2485	-	MLA1_000001-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	4686	5932	+	MLA1_000002-T1		g01053_1	98	341	341
scaffold_1	7184	8993	+	MLA1_000003-T1		g01027_2	98	346	695
scaffold_1	9188	12499	-	MLA1_000004-T1		g00815_2	80	344	348
scaffold_1	13444	15069	+	MLA1_000005-T1		g00691_1	98	346	348
scaffold_1	15138	15725	-	MLA1_000006-T1		g04916	98	344	345
scaffold_1	16079	17967	+	MLA1_000007-T1		g01742	98	346	1038
scaffold_1	17953	20396	+	MLA1_000008-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	20220	22177	-	MLA1_000009-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	22279	23955	-	MLA1_000010-T1	sorting nexin	g03562	98	345	346
scaffold_1	24517	26127	+	MLA1_000011-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	26161	31617	-	MLA1_000012-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	38767	42222	-	MLA1_000016-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	42327	42725	-	MLA1_000017-T1		g00397	98	346	1037
scaffold_1	47028	49643	+	MLA1_000018-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	49723	53851	+	MLA1_000019-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	54567	57032	+	MLA1_000020-T1		g00027_15	98	345	347
scaffold_1	57794	61353	+	MLA1_000021-T1		g00760_1	98	345	350
scaffold_1	61431	63731	+	MLA1_000022-T1		g02137	98	346	350
scaffold_1	63725	67067	-	MLA1_000023-T1		g00034_2	98	346	348
scaffold_1	67735	69207	-	MLA1_000024-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	71010	72321	+	MLA1_000025-T1		g00528	98	344	346
scaffold_1	72333	76078	-	MLA1_000026-T1		g01711	98	346	349
scaffold_1	76176	77300	-	MLA1_000027-T1		g01786	98	345	688
scaffold_1	77607	79819	-	MLA1_000028-T1		g01786	98	345	688
scaffold_1	80418	81110	-	MLA1_000029-T1		g02596	98	346	347
scaffold_1	81166	81755	-	MLA1_000030-T1		g00017	98	346	346
scaffold_1	82386	84022	+	MLA1_000031-T1		g00460_2	98	346	1202
scaffold_1	84460	85420	-	MLA1_000032-T1		g02790	98	345	348
scaffold_1	85738	86603	+	MLA1_000033-T1		g00460_2	98	346	1202
scaffold_1	86632	89551	-	MLA1_000034-T1	ERMES complex subunit	g00460_2	98	346	1202
